ticker,date_detachement,montant,exercice
ABJC,2016-06-14,1800.0,2015.0
ABJC,2017-07-20,49.5,2016.0
ABJC,2018-06-18,98.97,2017.0
ABJC,2019-05-23,123.717,2018.0
ABJC,2019-09-26,41.239003,2018.0
ABJC,2022-08-22,57.73,2021.0
ABJC,2023-08-29,92.0,2022.0
ABJC,2024-09-26,206.195,2023.0
ABJC,2026-09-29,124.0,
BICB,2025-09-11,254.6,2024.0
BICB,2026-07-30,254.6,2025.0
BICC,2016-07-18,4231.5,2015.0
BICC,2017-07-20,2771.41,2016.0
BICC,2018-06-28,213.56,2017.0
BICC,2019-07-15,182.9,2018.0
BICC,2021-07-02,50.0,2020.0
BICC,2022-07-13,518.0,2021.0
BICC,2023-07-27,401.4,2022.0
BICC,2024-06-25,540.9,2023.0
BICC,2025-05-21,944.0,2024.0
BICC,2026-07-03,1315.0,2025.0
BNBC,2016-07-06,5500.0,2015.0
BNBC,2017-07-07,3252.0,2016.0
BNBC,2018-07-23,63.0,2017.0
BNBC,2019-07-17,45.0,2018.0
BNBC,2023-07-20,150.0,2022.0
BOAB,2017-05-12,8941.0,2017.0
BOAB,2019-05-20,416.0,2019.0
BOAB,2020-05-13,436.0,2019.0
BOAB,2021-05-18,436.0,2020.0
BOAB,2022-05-23,546.0,2021.0
BOAB,2023-05-23,627.0,2022.0
BOAB,2024-05-23,706.0,2023.0
BOAB,2025-05-30,468.0,2024.0
BOAB,2026-05-22,585.0,2025.0
BOABF,2017-04-30,6930.0,2016.0
BOABF,2018-05-03,358.0,2017.0
BOABF,2019-04-29,366.0,2018.0
BOABF,2020-04-29,370.0,2019.0
BOABF,2021-04-29,370.0,2020.0
BOABF,2022-04-29,448.0,2021.0
BOABF,2023-05-03,577.0,2022.0
BOABF,2024-05-02,704.0,2023.0
BOABF,2025-04-17,428.0,2024.0
BOABF,2026-04-22,397.0,2025.0
BOAC,2017-05-05,5480.0,2016.0
BOAC,2018-06-04,295.0,2017.0
BOAC,2019-05-16,306.0,2018.0
BOAC,2020-06-11,315.0,2019.0
BOAC,2021-05-10,315.0,2020.0
BOAC,2022-04-26,374.0,2021.0
BOAC,2023-04-26,540.0,2022.0
BOAC,2024-04-25,684.0,2023.0
BOAC,2025-05-16,469.0,2024.0
BOAC,2026-05-05,594.528,
BOAM,2017-04-28,2790.0,2016.0
BOAM,2018-05-29,290.0,2017.0
BOAM,2019-05-13,271.0,2018.0
BOAM,2024-05-16,144.0,2023.0
BOAM,2025-05-30,237.15,2024.0
BOAM,2026-06-02,305.04,2025.0
BOAN,2017-05-16,4910.0,2016.0
BOAN,2018-05-29,379.44,2017.0
BOAN,2019-05-23,385.95,2018.0
BOAN,2020-05-18,429.66,2019.0
BOAN,2021-05-04,429.66,2020.0
BOAN,2022-05-10,567.3,2021.0
BOAN,2023-05-23,613.8,2022.0
BOAN,2024-05-29,609.15,2023.0
BOAN,2025-05-30,209.25,2024.0
BOAS,2016-07-28,750.0,2015.0
BOAS,2017-05-12,1000.0,2016.0
BOAS,2018-04-27,160.0,2017.0
BOAS,2019-05-30,160.0,2018.0
BOAS,2020-06-17,161.0,2019.0
BOAS,2021-05-28,161.01,2020.0
BOAS,2022-05-30,161.0,2021.0
BOAS,2023-05-30,187.5,2022.0
BOAS,2024-06-25,300.0,2023.0
BOAS,2025-05-28,350.0,2024.0
BOAS,2026-05-29,450.0,2025.0
CABC,2016-07-26,1200.0,2015.0
CABC,2017-06-28,2000.0,2016.0
CABC,2018-05-29,100.0,2017.0
CABC,2019-05-29,75.0,2018.0
CABC,2020-07-27,75.0,2019.0
CABC,2021-07-29,133.0,2020.0
CABC,2022-07-29,69.0,2021.0
CABC,2023-07-31,69.0,2022.0
CABC,2024-05-29,79.58,2023.0
CABC,2025-05-28,128.1,2024.0
CABC,2026-05-29,152.02,
CBIBF,2024-07-03,790.0,2023.0
CBIBF,2025-07-03,555.0,2024.0
CBIBF,2026-06-18,900.0,2025.0
CFAC,2016-07-27,2297.7,2015.0
CFAC,2017-07-20,2032.0,2016.0
CFAC,2018-07-25,9.9,2017.0
CFAC,2019-07-19,31.5,2018.0
CFAC,2020-08-21,26.073,2019.0
CFAC,2021-07-13,22.15,2020.0
CFAC,2022-07-29,69.47,2021.0
CFAC,2023-09-13,27.45,2022.0
CFAC,2024-08-28,15.87,2023.0
CFAC,2025-08-14,8.0,2024.0
CFAC,2026-08-13,63.0,
CIEC,2016-09-13,2641.0,2015.0
CIEC,2017-07-10,3465.0,2016.0
CIEC,2018-07-17,31.95,2017.0
CIEC,2018-07-18,31.95,2017.0
CIEC,2019-08-06,79.23,2018.0
CIEC,2020-08-03,104.979,2019.0
CIEC,2021-07-12,167.14,2020.0
CIEC,2022-07-21,153.161,2021.0
CIEC,2023-07-27,157.5,2022.0
CIEC,2024-07-26,171.0,2023.0
CIEC,2025-07-29,180.0,2024.0
CIEC,2026-07-27,234.0,
ECOC,2017-04-28,1.208,2016.0
ECOC,2018-06-20,1844.0,2017.0
ECOC,2019-05-13,241.0,2018.0
ECOC,2020-07-16,352.8,2019.0
ECOC,2021-05-04,294.3,2020.0
ECOC,2022-04-26,420.3,2021.0
ECOC,2022-06-16,0.16,2021.0
ECOC,2023-05-25,549.0,2022.0
ECOC,2023-06-06,0.6048,2022.0
ECOC,2024-05-28,594.0,2023.0
ECOC,2025-05-31,804.0,2024.0
ECOC,2026-05-22,888.0,2025.0
ECOC,2026-06-29,0.9,2025.0
FTSC,2016-06-28,1045.0,2015.0
FTSC,2017-07-27,1045.0,2016.0
FTSC,2018-01-05,1200.0,2016.0
FTSC,2018-08-13,161.27,2017.0
FTSC,2019-07-29,110.0,2018.0
FTSC,2020-07-04,125.0,2019.0
FTSC,2021-07-28,235.0,2020.0
FTSC,2024-09-26,143.1,2023.0
FTSC,2025-09-26,1320.0,2024.0
LNBB,2025-07-29,275.5,2024.0
LNBB,2026-07-31,164.17,
NEIC,2023-09-20,35.25,2022.0
NEIC,2024-06-21,81.78,2023.0
NSBC,2018-06-21,466.1,2017.0
NSBC,2019-07-05,194.2,2018.0
NSBC,2020-07-23,77.68666379,2019.0
NSBC,2023-06-05,363.6,2022.0
NSBC,2024-07-04,454.829,2023.0
NSBC,2025-07-07,759.2612,2024.0
NSBC,2026-08-03,768.16,
NTLC,2021-07-28,363.665,2020.0
NTLC,2022-07-29,856.8,2021.0
NTLC,2023-08-03,728.1,2022.0
NTLC,2024-07-16,675.0,2023.0
NTLC,2025-08-13,820.0,2024.0
NTLC,2026-09-04,420.0,
ONTBF,2017-05-30,619.0625,2016.0
ONTBF,2018-05-04,727.9125,2017.0
ONTBF,2019-05-29,409.36,2018.0
ONTBF,2020-06-08,387.17,2019.0
ONTBF,2021-05-28,399.5635,2020.0
ONTBF,2022-06-13,416.5791,2021.0
ONTBF,2023-06-22,287.8799,2022.0
ONTBF,2024-08-01,266.44625,2023.0
ONTBF,2025-07-17,189.5299,2024.0
ONTBF,2026-06-12,145.3214,2025.0
ORAC,2023-06-16,752.76,2022.0
ORAC,2024-05-30,780.0,2023.0
ORAC,2025-06-05,750.0,2024.0
ORAC,2026-06-05,800.0,2025.0
ORGT,2019-06-27,56.73,2018.0
ORGT,2020-07-15,59.52,2019.0
PALC,2017-09-27,240.6,2016.0
PALC,2018-09-20,253.47,2017.0
PALC,2021-08-25,102.51,2020.0
PALC,2022-08-29,1236.34,2021.0
PALC,2023-07-17,1213.632,2022.0
PALC,2024-07-24,563.306,2023.0
PALC,2025-09-08,513.012,2024.0
PALC,2026-06-26,501.596,2025.0
PRSC,2016-05-01,13050.0,2015.0
PRSC,2017-09-21,13500.0,2016.0
PRSC,2018-08-29,3839.0,2017.0
PRSC,2019-09-16,9623.0,2018.0
PRSC,2020-08-28,159.3,2019.0
PRSC,2021-08-31,162.9,2020.0
PRSC,2022-08-26,175.86,2021.0
PRSC,2023-09-11,224.1,2022.0
PRSC,2024-09-20,182.7,2023.0
PRSC,2025-09-26,207.0,2024.0
SCRC,2018-09-26,72.0,2017.0
SCRC,2021-08-18,40.5,2020.0
SDCC,2017-09-26,2700.0,2016.0
SDCC,2018-08-27,270.0,2017.0
SDCC,2018-09-20,253.47,2017.0
SDCC,2019-10-25,270.0,2018.0
SDCC,2020-09-23,292.5,2019.0
SDCC,2021-07-23,337.5,2020.0
SDCC,2022-10-19,432.0,2021.0
SDCC,2023-09-13,450.0,2022.0
SDCC,2024-09-23,481.5,2023.0
SDCC,2025-09-26,400.0,2024.0
SDSC,2016-06-24,9581.0,2015.0
SDSC,2017-07-11,8997.0,2016.0
SDSC,2019-06-03,184.0,2018.0
SDSC,2020-12-16,100.0,2019.0
SDSC,2021-08-09,100.0,2020.0
SDSC,2022-06-21,130.0,2021.0
SDSC,2023-11-16,92.0,2022.0
SDSC,2024-12-10,92.0,2023.0
SDSC,2025-08-27,92.0,2024.0
SEMC,2017-09-27,676.8,2016.0
SEMC,2021-12-24,14.4,2020.0
SGBC,2016-04-24,5228.0,2015.0
SGBC,2017-06-30,5837.0,2016.0
SGBC,2018-07-13,585.0,2017.0
SGBC,2019-07-29,206.0,2018.0
SGBC,2020-07-27,273.0,2019.0
SGBC,2020-07-29,273.0,2019.0
SGBC,2021-06-28,368.298,2020.0
SGBC,2022-06-08,1004.93,2021.0
SGBC,2023-05-26,1112.43,2022.0
SGBC,2024-06-21,1553.847,2022.0
SGBC,2025-08-01,1863.0,2024.0
SHEC,2016-07-25,1665.0,2015.0
SHEC,2017-07-25,33.7,2016.0
SHEC,2018-07-19,42.86,2017.0
SHEC,2019-07-31,64.286,2018.0
SHEC,2020-11-24,63.9,2019.0
SHEC,2022-10-26,29.0,2021.0
SHEC,2023-12-26,53.0,2022.0
SHEC,2024-09-25,57.0,2023.0
SHEC,2025-10-20,85.56,2024.0
SIBC,2017-06-07,855.0,2016.0
