ticker,date,indicateur,valeur
ABJC,2022-12-31,dividende,83.0
ABJC,2022-12-31,rendement,4.73
ABJC,2023-12-31,dividende,206.0
ABJC,2023-12-31,rendement,15.91
ABJC,2025-12-31,dividende,202.0
ABJC,2025-12-31,rendement,10.61
BICB,2024-12-31,dividende,255.0
BICB,2025-12-31,dividende,255.0
BNBC,2022-12-31,dividende,150.0
BNBC,2022-12-31,rendement,6.9
BOAB,2022-12-31,dividende,273.0
BOAB,2022-12-31,rendement,10.3
BOAB,2023-12-31,dividende,353.0
BOAB,2023-12-31,rendement,11.87
BOAB,2024-12-31,dividende,468.0
BOAB,2024-12-31,rendement,14.72
BOAB,2025-12-31,dividende,585.0
BOAB,2025-12-31,rendement,15.88
BOABF,2022-12-31,dividende,224.0
BOABF,2022-12-31,rendement,7.23
BOABF,2023-12-31,dividende,352.0
BOABF,2023-12-31,rendement,13.54
BOABF,2024-12-31,dividende,428.0
BOABF,2024-12-31,rendement,12.26
BOABF,2025-12-31,dividende,397.0
BOABF,2025-12-31,rendement,13.08
BOAM,2023-12-31,dividende,96.0
BOAM,2023-12-31,rendement,10.29
BOAM,2024-12-31,dividende,237.0
BOAM,2024-12-31,rendement,24.12
BOAM,2025-12-31,dividende,305.0
BOAM,2025-12-31,rendement,16.14
BOAN,2022-12-31,dividende,355.0
BOAN,2022-12-31,rendement,11.12
BOAN,2023-12-31,dividende,381.0
BOAN,2023-12-31,rendement,10.53
BOAN,2024-12-31,dividende,209.0
BOAN,2024-12-31,rendement,6.21
BOAS,2022-12-31,dividende,125.0
BOAS,2022-12-31,rendement,7.98
BOAS,2023-12-31,dividende,200.0
BOAS,2023-12-31,rendement,12.24
BOAS,2024-12-31,dividende,350.0
BOAS,2024-12-31,rendement,16.41
BOAS,2025-12-31,dividende,450.0
BOAS,2025-12-31,rendement,14.29
CABC,2022-12-31,dividende,69.0
CABC,2022-12-31,rendement,6.8
CABC,2023-12-31,dividende,80.0
CABC,2023-12-31,rendement,6.8
CABC,2024-12-31,dividende,113.0
CABC,2024-12-31,rendement,10.16
CABC,2025-12-31,dividende,152.0
CABC,2025-12-31,rendement,14.62
CBIBF,2022-12-31,dividende,525.0
CBIBF,2022-12-31,rendement,5.0
CBIBF,2023-12-31,dividende,790.0
CBIBF,2023-12-31,rendement,9.42
CBIBF,2024-12-31,dividende,555.0
CBIBF,2024-12-31,rendement,5.97
CBIBF,2025-12-31,dividende,900.0
CBIBF,2025-12-31,rendement,9.1
CFAC,2022-12-31,dividende,29.0
CFAC,2022-12-31,rendement,2.41
CFAC,2023-12-31,dividende,16.0
CFAC,2023-12-31,rendement,1.71
CFAC,2024-12-31,dividende,7.0
CFAC,2024-12-31,rendement,0.84
CFAC,2025-12-31,dividende,55.0
CFAC,2025-12-31,rendement,9.24
CIEC,2022-12-31,dividende,158.0
CIEC,2022-12-31,rendement,8.31
CIEC,2023-12-31,dividende,171.0
CIEC,2023-12-31,rendement,8.59
CIEC,2024-12-31,dividende,158.0
CIEC,2024-12-31,rendement,9.32
CIEC,2025-12-31,dividende,206.0
CIEC,2025-12-31,rendement,9.38
ECOC,2022-12-31,dividende,549.0
ECOC,2022-12-31,rendement,11.47
ECOC,2023-12-31,dividende,594.0
ECOC,2023-12-31,rendement,12.01
ECOC,2024-12-31,dividende,708.0
ECOC,2024-12-31,rendement,10.41
ECOC,2025-12-31,dividende,781.0
ECOC,2025-12-31,rendement,8.88
FTSC,2023-12-31,dividende,130.0
FTSC,2023-12-31,rendement,8.13
FTSC,2024-12-31,dividende,1727.0
FTSC,2024-12-31,rendement,93.83
LNBB,2022-12-31,dividende,107.0
LNBB,2024-12-31,dividende,276.0
LNBB,2025-12-31,dividende,164.0
LNBB,2025-12-31,rendement,3.47
NEIC,2022-12-31,dividende,35.0
NEIC,2022-12-31,rendement,5.64
NEIC,2023-12-31,dividende,82.0
NEIC,2023-12-31,rendement,10.22
NEIC,2025-12-31,dividende,140.0
NEIC,2025-12-31,rendement,18.72
NSBC,2022-12-31,dividende,364.0
NSBC,2022-12-31,rendement,5.88
NSBC,2023-12-31,dividende,455.0
NSBC,2023-12-31,rendement,7.62
NSBC,2024-12-31,dividende,671.0
NSBC,2024-12-31,rendement,11.18
NSBC,2025-12-31,dividende,676.0
NSBC,2025-12-31,rendement,9.53
NTLC,2022-12-31,dividende,728.0
NTLC,2022-12-31,rendement,15.81
NTLC,2023-12-31,dividende,675.0
NTLC,2023-12-31,rendement,8.19
NTLC,2024-12-31,dividende,722.0
NTLC,2024-12-31,rendement,9.78
NTLC,2025-12-31,dividende,370.0
NTLC,2025-12-31,rendement,4.64
ONTBF,2022-12-31,dividende,288.0
ONTBF,2022-12-31,rendement,7.3
ONTBF,2023-12-31,dividende,266.0
ONTBF,2023-12-31,rendement,8.33
ONTBF,2024-12-31,dividende,195.0
ONTBF,2024-12-31,rendement,8.55
ONTBF,2025-12-31,dividende,145.0
ONTBF,2025-12-31,rendement,6.33
ORAC,2022-12-31,dividende,753.0
ORAC,2022-12-31,rendement,7.37
ORAC,2023-12-31,dividende,780.0
ORAC,2023-12-31,rendement,7.64
ORAC,2024-12-31,dividende,660.0
ORAC,2024-12-31,rendement,6.06
ORAC,2025-12-31,dividende,704.0
ORAC,2025-12-31,rendement,4.02
PRSC,2022-12-31,dividende,224.0
PRSC,2022-12-31,rendement,5.34
PRSC,2023-12-31,dividende,183.0
PRSC,2023-12-31,rendement,5.73
PRSC,2024-12-31,dividende,182.0
PRSC,2024-12-31,rendement,9.59
PRSC,2025-12-31,dividende,184.0
PRSC,2025-12-31,rendement,8.36
SDSC,2022-12-31,dividende,83.0
SDSC,2022-12-31,rendement,3.22
SDSC,2023-12-31,dividende,92.0
SDSC,2023-12-31,rendement,6.59
SDSC,2024-12-31,dividende,92.0
SDSC,2024-12-31,rendement,6.81
SHEC,2022-12-31,dividende,53.0
SHEC,2022-12-31,rendement,6.16
SHEC,2023-12-31,dividende,57.0
SHEC,2023-12-31,rendement,7.6
SHEC,2024-12-31,dividende,75.0
SHEC,2024-12-31,rendement,9.49
SHEC,2025-12-31,dividende,85.0
SHEC,2025-12-31,rendement,9.67
SIBC,2022-12-31,dividende,248.0
SIBC,2022-12-31,rendement,6.21
SIBC,2023-12-31,dividende,248.0
SIBC,2023-12-31,rendement,5.4
SIBC,2024-12-31,dividende,330.0
SIBC,2024-12-31,rendement,12.34
SIBC,2025-12-31,dividende,374.0
SIBC,2025-12-31,rendement,10.52
SLBC,2023-12-31,dividende,270.0
SLBC,2023-12-31,rendement,3.24
SLBC,2024-12-31,dividende,1074.0
SLBC,2024-12-31,rendement,12.34
SLBC,2025-12-31,dividende,1872.0
SLBC,2025-12-31,rendement,14.45
SMBC,2022-12-31,dividende,720.0
SMBC,2022-12-31,rendement,10.43
SMBC,2023-12-31,dividende,1080.0
SMBC,2023-12-31,rendement,15.88
SMBC,2024-12-31,dividende,616.0
SMBC,2024-12-31,rendement,5.85
SMBC,2025-12-31,dividende,704.0
SMBC,2025-12-31,rendement,8.18
SNTS,2022-12-31,dividende,1500.0
SNTS,2022-12-31,rendement,10.73
SNTS,2023-12-31,dividende,1575.0
SNTS,2023-12-31,rendement,10.36
SNTS,2024-12-31,dividende,1655.0
SNTS,2024-12-31,rendement,9.2
SNTS,2025-12-31,dividende,1740.0
SNTS,2025-12-31,rendement,7.25
SOGC,2022-12-31,dividende,554.0
SOGC,2022-12-31,rendement,11.09
SOGC,2023-12-31,dividende,207.0
SOGC,2023-12-31,rendement,3.65
SOGC,2024-12-31,dividende,528.0
SOGC,2024-12-31,rendement,16.15
SOGC,2025-12-31,dividende,502.0
SOGC,2025-12-31,rendement,10.88
SPHC,2022-12-31,dividende,294.0
SPHC,2022-12-31,rendement,5.67
SPHC,2023-12-31,dividende,65.0
SPHC,2023-12-31,rendement,1.3
SPHC,2024-12-31,dividende,324.0
SPHC,2024-12-31,rendement,13.79
SPHC,2025-12-31,dividende,430.0
SPHC,2025-12-31,rendement,10.39
STBC,2022-12-31,dividende,540.0
STBC,2022-12-31,rendement,8.74
STBC,2023-12-31,dividende,675.0
STBC,2023-12-31,rendement,9.85
STBC,2024-12-31,dividende,2090.0
STBC,2024-12-31,rendement,35.16
STBC,2025-12-31,dividende,1707.0
STBC,2025-12-31,rendement,23.39
