ticker,nom,secteur,premiere_vue,derniere_vue
ABJC,SERVAIR ABIDJAN COTE D'IVOIRE,Consommation Discrétionnaire,2015-01-05,2026-09-01
BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,Services Financiers,2025-04-28,2026-09-01
BICC,BICI COTE D'IVOIRE,Services Financiers,2015-01-02,2026-09-01
BNBC,BERNABE COTE D'IVOIRE,Consommation Discrétionnaire,2015-01-06,2026-09-01
BOAB,BANK OF AFRICA BENIN,Services Financiers,2015-01-05,2026-09-01
BOABF,BANK OF AFRICA BURKINA FASO,Services Financiers,2015-01-02,2026-09-01
BOAC,BANK OF AFRICA COTE D'IVOIRE,Services Financiers,2015-01-08,2026-09-01
BOAM,BANK OF AFRICA MALI,Services Financiers,2016-05-31,2026-09-01
BOAN,BANK OF AFRICA NIGER,Services Financiers,2015-01-08,2026-09-01
BOAS,BANK OF AFRICA SENEGAL,Services Financiers,2015-01-02,2026-09-01
CABC,SICABLE COTE D'IVOIRE,Industriels,2015-01-06,2026-09-01
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,Services Financiers,2016-12-23,2026-09-01
CFAC,CFAO MOTORS COTE D'IVOIRE,Consommation Discrétionnaire,2015-01-02,2026-09-01
CIEC,CIE COTE D'IVOIRE,Services Publics,2015-01-02,2026-09-01
ECOC,ECOBANK COTE D'IVOIRE,Services Financiers,2017-12-12,2026-09-01
ETIT,Ecobank Transnational Incorporated TOGO,Services Financiers,2015-01-02,2026-09-01
FTSC,FILTISAC COTE D'IVOIRE,Industriels,2015-01-02,2026-09-01
LNBB,LOTERIE NATIONALE DU BENIN,Consommation Discrétionnaire,2024-12-13,2026-09-01
NEIC,NEI-CEDA COTE D'IVOIRE,Consommation Discrétionnaire,2015-01-05,2026-09-01
NSBC,NSIA BANQUE COTE D'IVOIRE,Services Financiers,2017-10-24,2026-09-01
NTLC,NESTLE COTE D'IVOIRE,Consommation de Base,2015-01-07,2026-09-01
ONTBF,ONATEL BURKINA FASO,Télécommunications,2015-01-02,2026-09-01
ORAC,ORANGE COTE D'IVOIRE,Télécommunications,2022-12-30,2026-09-01
ORGT,ORAGROUP TOGO,Services Financiers,2019-04-16,2026-09-01
PALC,PALM COTE D'IVOIRE,Consommation de Base,2015-01-02,2026-09-01
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,Consommation Discrétionnaire,2015-01-15,2026-09-01
SAFC,SAFCA COTE D'IVOIRE,Services Financiers,2015-01-07,2026-09-01
SCRC,SUCRIVOIRE COTE D'IVOIRE,Consommation de Base,2016-12-29,2026-09-01
SDCC,SODE COTE D'IVOIRE,Services Publics,2015-01-02,2026-09-01
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,Industriels,2015-01-06,2026-09-01
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,Industriels,2015-01-13,2026-09-01
SGBC,SOCIETE GENERALE COTE D'IVOIRE,Services Financiers,2015-01-02,2026-09-01
SHEC,VIVO ENERGY COTE D'IVOIRE,Energie,2015-01-08,2026-09-01
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,Services Financiers,2016-10-27,2026-09-01
SICC,SICOR COTE D'IVOIRE,Consommation de Base,2015-01-02,2026-09-01
SIVC,ERIUM COTE D’IVOIRE,Industriels,2015-01-02,2026-09-01
SLBC,SOLIBRA COTE D'IVOIRE,Consommation de Base,2015-01-02,2026-09-01
SMBC,SMB COTE D'IVOIRE,Energie,2015-01-05,2026-09-01
SNTS,SONATEL SENEGAL,Télécommunications,2015-01-02,2026-09-01
SOGC,SOGB COTE D'IVOIRE,Consommation de Base,2015-01-05,2026-09-01
SPHC,SAPH COTE D'IVOIRE,Consommation de Base,2015-01-02,2026-09-01
STAC,SETAO COTE D'IVOIRE,Industriels,2015-01-05,2026-09-01
STBC,SITAB COTE D'IVOIRE,Consommation de Base,2015-01-06,2026-09-01
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,Energie,2015-01-06,2026-09-01
TTLS,TOTALENERGIES MARKETING SENEGAL,Energie,2015-02-20,2026-09-01
UNLC,UNILEVER COTE D'IVOIRE,Consommation de Base,2015-01-02,2026-09-01
UNXC,UNIWAX COTE D'IVOIRE,Consommation Discrétionnaire,2015-01-05,2026-09-01
