ticker,nom,secteur
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,Consommation Discrétionnaire
BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,Services Financiers
BICC,BICI COTE D'IVOIRE,Services Financiers
BNBC,BERNABE COTE D'IVOIRE,Consommation Discrétionnaire
BOAB,BANK OF AFRICA BENIN,Services Financiers
BOABF,BANK OF AFRICA BURKINA FASO,Services Financiers
BOAC,BANK OF AFRICA COTE D'IVOIRE,Services Financiers
BOAM,BANK OF AFRICA MALI,Services Financiers
BOAN,BANK OF AFRICA NIGER,Services Financiers
BOAS,BANK OF AFRICA SENEGAL,Services Financiers
CABC,SICABLE COTE D'IVOIRE,Industriels
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,Services Financiers
CFAC,CFAO MOTORS COTE D'IVOIRE,Consommation Discrétionnaire
CIEC,CIE COTE D'IVOIRE,Services Publics
ECOC,ECOBANK COTE D'IVOIRE,Services Financiers
ETIT,Ecobank Transnational Incorporated TOGO,Services Financiers
FTSC,FILTISAC COTE D'IVOIRE,Industriels
LNBB,LOTERIE NATIONALE DU BENIN,Consommation Discrétionnaire
NEIC,NEI-CEDA COTE D'IVOIRE,Consommation Discrétionnaire
NSBC,NSIA BANQUE COTE D'IVOIRE,Services Financiers
NTLC,NESTLE COTE D'IVOIRE,Consommation de Base
ONTBF,ONATEL BURKINA FASO,Télécommunications
ORAC,ORANGE COTE D'IVOIRE,Télécommunications
ORGT,ORAGROUP TOGO,Services Financiers
PALC,PALM COTE D'IVOIRE,Consommation de Base
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,Consommation Discrétionnaire
SAFC,SAFCA COTE D'IVOIRE,Services Financiers
SCRC,SUCRIVOIRE COTE D'IVOIRE,Consommation de Base
SDCC,SODE COTE D'IVOIRE,Services Publics
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,Industriels
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,Industriels
SGBC,SOCIETE GENERALE COTE D'IVOIRE,Services Financiers
SHEC,VIVO ENERGY COTE D'IVOIRE,Energie
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,Services Financiers
SICC,SICOR COTE D'IVOIRE,Consommation de Base
SIVC,ERIUM COTE D’IVOIRE,Industriels
SLBC,SOLIBRA COTE D'IVOIRE,Consommation de Base
SMBC,SMB COTE D'IVOIRE,Energie
SNTS,SONATEL SENEGAL,Télécommunications
SOGC,SOGB COTE D'IVOIRE,Consommation de Base
SPHC,SAPH COTE D'IVOIRE,Consommation de Base
STAC,SETAO COTE D'IVOIRE,Industriels
STBC,SITAB COTE D'IVOIRE,Consommation de Base
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,Energie
TTLS,TOTALENERGIES MARKETING SENEGAL,Energie
UNLC,UNILEVER COTE D'IVOIRE,Consommation de Base
UNXC,UNIWAX COTE D'IVOIRE,Consommation Discrétionnaire
